weight,peel color,flesh color,texture,size,name
172,82,48,11,68,mango
164,40,55,27,168,mango
172,53,44,23,64,mango
141,73,35,20,114,mango
155,73,55,14,80,mango
157,75,45,29,135,mango
149,46,51,14,152,mango
186,65,53,20,156,mango
194,46,36,21,170,mango
188,57,48,22,135,mango
186,77,56,26,77,mango
178,33,40,12,94,mango
155,62,41,15,103,mango
146,85,50,24,100,mango
154,53,54,18,159,mango
195,27,35,25,142,mango
152,53,49,19,75,mango
159,35,53,21,121,mango
150,40,55,13,147,mango
193,20,54,27,79,mango
173,77,58,25,136,mango
198,48,41,20,147,mango
195,36,52,13,105,mango
144,36,35,23,158,mango
186,42,41,17,109,mango
173,31,53,18,60,mango
198,79,62,19,81,mango
171,84,61,14,82,mango
151,42,50,27,173,mango
155,79,44,15,116,mango
164,48,62,19,78,mango
161,46,54,23,81,mango
185,27,42,21,176,mango
197,38,43,16,105,mango
171,31,45,18,81,mango
142,49,52,24,76,mango
169,30,60,15,76,mango
181,52,44,28,163,mango
155,88,59,26,111,mango
149,32,62,14,110,mango
182,47,39,24,161,mango
177,66,45,19,104,mango
169,76,62,25,67,mango
181,48,41,25,126,mango
166,41,41,25,142,mango
194,79,60,22,94,mango
165,75,63,11,107,mango
187,76,58,23,170,mango
163,79,56,14,179,mango
173,58,52,12,116,mango
199,58,60,21,178,mango
172,55,37,12,108,mango
143,75,63,14,156,mango
198,42,45,25,105,mango
192,56,59,16,68,mango
149,25,42,21,108,mango
161,49,44,10,102,mango
197,63,46,10,114,mango
188,82,61,27,138,mango
198,32,59,27,166,mango
189,55,41,18,175,mango
183,82,37,29,87,mango
169,80,35,11,117,mango
194,78,45,26,92,mango
195,44,54,12,166,mango
187,66,35,20,112,mango
148,87,60,26,117,mango
144,54,35,20,66,mango
185,67,40,29,117,mango
157,23,42,27,161,mango
190,75,38,29,97,mango
151,50,39,12,85,mango
171,67,54,17,128,mango
163,57,35,13,156,mango
154,81,42,10,85,mango
151,36,47,13,127,mango
194,84,44,10,125,mango
140,83,51,29,69,mango
187,80,48,12,86,mango
142,83,50,28,111,mango
159,67,38,19,163,mango
147,59,45,11,124,mango
180,58,44,20,82,mango
197,70,47,22,73,mango
150,85,46,11,105,mango
174,86,61,28,89,mango
169,59,64,25,150,mango
173,69,62,27,168,mango
168,88,55,14,140,mango
181,28,42,10,178,mango
151,22,62,13,150,mango
183,83,58,18,139,mango
177,56,63,26,112,mango
185,61,57,17,84,mango
193,29,36,18,132,mango
181,70,46,12,85,mango
142,83,41,15,140,mango
188,87,45,20,112,mango
199,70,42,12,129,mango
192,29,58,23,60,mango
187,79,64,13,175,mango
192,79,46,11,79,mango
146,41,38,26,118,mango
181,57,44,21,115,mango
193,84,58,18,140,mango
175,38,46,19,119,mango
187,58,42,29,102,mango
165,72,50,22,74,mango
194,82,59,12,117,mango
165,49,54,22,132,mango
184,80,35,20,73,mango
186,43,61,29,123,mango
195,47,61,17,103,mango
158,58,37,27,160,mango
145,64,52,29,138,mango
196,60,50,24,93,mango
140,80,45,24,76,mango
158,37,48,24,73,mango
184,77,44,18,86,mango
198,60,40,25,174,mango
191,63,54,15,176,mango
168,58,39,29,153,mango
198,35,57,27,160,mango
162,65,61,22,140,mango
177,84,39,10,162,mango
172,48,55,23,111,mango
197,29,46,24,134,mango
171,48,57,14,129,mango
158,85,53,22,148,mango
188,35,45,24,160,mango
144,42,56,14,161,mango
149,28,64,25,67,mango
164,57,35,27,158,mango
181,58,62,17,143,mango
164,74,50,24,66,mango
194,88,35,21,126,mango
172,40,45,22,94,mango
199,86,63,13,75,mango
176,59,46,23,83,mango
141,55,55,25,112,mango
161,21,57,11,140,mango
188,80,57,24,76,mango
140,83,44,16,136,mango
167,79,35,27,84,mango
171,82,60,26,142,mango
180,51,59,29,100,mango
164,73,63,12,133,mango
190,55,47,26,64,mango
186,51,51,20,170,mango
158,80,57,10,172,mango
196,49,52,11,140,mango
188,28,39,14,62,mango
155,28,48,29,153,mango
156,81,41,22,88,mango
154,27,35,17,63,mango
181,78,45,11,124,mango
163,71,63,28,98,mango
176,82,58,19,140,mango
175,26,36,19,121,mango
176,34,46,18,119,mango
196,53,53,21,67,mango
187,39,46,12,77,mango
141,45,45,27,169,mango
192,73,52,22,78,mango
162,29,53,17,83,mango
143,83,59,28,112,mango
169,58,60,26,178,mango
157,34,36,20,118,mango
157,72,50,27,103,mango
152,38,43,18,66,mango
181,40,45,20,132,mango
156,40,48,25,69,mango
176,21,59,16,102,mango
140,77,38,13,111,mango
194,46,48,28,146,mango
174,74,59,15,96,mango
180,78,39,26,174,mango
145,59,41,16,96,mango
169,31,35,22,86,mango
140,26,55,12,177,mango
152,64,59,20,142,mango
193,67,48,28,161,mango
164,25,59,21,122,mango
157,44,47,28,99,mango
183,45,39,29,168,mango
181,25,49,24,137,mango
143,20,56,27,80,mango
166,59,57,23,67,mango
159,62,43,11,124,mango
185,30,41,27,62,mango
193,82,39,17,148,mango
182,56,62,13,146,mango
167,76,46,19,141,mango
147,43,48,28,155,mango
144,59,60,23,163,mango
149,63,43,19,172,mango
146,83,40,25,138,mango
166,32,35,29,85,mango
155,60,55,21,161,mango
165,29,52,21,163,mango
151,53,43,17,155,mango
159,83,37,25,152,mango
164,56,39,13,132,mango
146,51,51,11,90,mango
181,27,54,16,124,mango
162,26,64,20,70,mango
148,22,59,20,115,mango
147,39,53,10,151,mango
163,54,41,22,152,mango
186,51,50,28,156,mango
197,38,46,14,112,mango
186,50,48,25,164,mango
191,76,50,23,75,mango
191,44,53,13,154,mango
155,44,55,23,150,mango
195,39,49,10,128,mango
187,52,38,22,164,mango
166,27,56,26,142,mango
166,71,58,11,112,mango
157,50,55,18,168,mango
161,39,46,23,150,mango
177,37,60,29,146,mango
142,45,37,21,69,mango
154,60,50,28,163,mango
165,78,37,10,113,mango
175,59,44,16,86,mango
168,21,60,17,73,mango
188,85,38,16,73,mango
181,75,42,22,93,mango
178,86,39,21,161,mango
193,64,48,28,134,mango
164,56,63,12,126,mango
142,46,54,26,77,mango
173,71,47,19,88,mango
183,72,60,24,67,mango
157,74,63,11,84,mango
191,81,61,14,83,mango
149,54,63,13,75,mango
170,82,48,10,78,mango
180,52,40,24,95,mango
170,43,53,26,89,mango
195,20,42,26,113,mango
183,47,50,25,153,mango
163,70,44,25,105,mango
172,63,44,21,172,mango
186,88,39,18,158,mango
199,22,45,20,121,mango
161,87,63,13,102,mango
177,73,54,16,168,mango
160,88,64,16,130,mango
144,63,62,22,100,mango
167,27,59,19,103,mango
140,82,64,26,108,mango
155,79,41,14,63,mango
146,76,39,13,66,mango
182,68,42,14,172,mango
175,79,49,28,60,mango
141,84,47,13,70,mango
156,35,37,19,112,mango
156,59,51,14,85,mango
160,89,41,10,121,mango
153,34,52,21,108,mango
145,28,37,20,86,mango
163,26,64,19,66,mango
190,47,47,21,166,mango
147,47,47,23,166,mango
146,77,49,21,134,mango
181,36,57,22,84,mango
141,72,52,15,142,mango
193,69,52,29,176,mango
147,86,55,21,116,mango
151,72,49,23,70,mango
188,77,59,29,99,mango
148,71,59,26,102,mango
162,27,54,13,114,mango
193,65,47,29,85,mango
179,77,36,23,165,mango
163,69,52,12,131,mango
190,37,60,14,101,mango
162,40,49,12,117,mango
173,74,35,15,149,mango
161,82,46,15,172,mango
187,39,56,28,146,mango
154,54,64,19,124,mango
186,57,52,14,119,mango
156,46,54,25,109,mango
176,85,63,22,97,mango
180,73,48,26,77,mango
169,88,54,25,135,mango
162,31,58,23,142,mango
143,54,55,14,95,mango
180,41,57,26,149,mango
154,49,43,14,120,mango
193,60,50,24,74,mango
163,42,51,21,109,mango
143,63,37,10,158,mango
168,53,36,25,136,mango
164,20,56,10,170,mango
197,32,42,27,156,mango
161,25,58,23,88,mango
197,50,38,20,71,mango
189,41,46,10,138,mango
188,26,41,21,110,mango
164,41,38,12,115,mango
194,41,49,22,140,mango
183,59,38,23,101,mango
151,21,52,13,150,mango
177,77,41,27,94,mango
178,75,59,14,70,mango
179,84,36,20,97,mango
151,87,52,19,67,mango
145,34,46,20,170,mango
192,55,48,24,155,mango
172,33,64,25,155,mango
158,72,39,28,146,mango
175,45,51,23,166,mango
196,38,55,19,128,mango
199,84,47,24,176,mango
195,76,48,27,125,mango
167,32,62,29,113,mango
162,24,61,19,155,mango
154,72,60,15,165,mango
165,68,61,22,149,mango
163,63,39,28,173,mango
154,26,53,29,147,mango
161,57,56,11,156,mango
177,52,49,13,110,mango
181,71,56,18,165,mango
169,37,50,10,75,mango
160,79,36,22,164,mango
151,23,39,27,110,mango
196,29,60,22,137,mango
163,30,61,28,118,mango
144,68,50,17,131,mango
181,73,62,10,147,mango
185,53,49,15,168,mango
155,75,36,12,174,mango
175,59,41,20,136,mango
145,57,38,27,132,mango
162,58,50,11,173,mango
179,60,61,19,61,mango
199,66,35,24,132,mango
163,49,43,28,169,mango
184,62,43,27,156,mango
192,60,38,14,169,mango
175,39,37,25,65,mango
149,28,52,21,136,mango
146,50,40,11,118,mango
156,36,63,26,76,mango
186,72,59,16,79,mango
198,45,53,17,102,mango
149,67,50,18,65,mango
151,67,52,28,118,mango
142,65,47,23,159,mango
173,43,63,14,85,mango
166,83,53,16,85,mango
177,76,53,25,76,mango
193,45,46,24,175,mango
149,25,63,27,91,mango
151,76,45,19,126,mango
198,28,53,11,158,mango
145,36,58,20,104,mango
168,81,51,11,107,mango
176,31,52,13,95,mango
177,20,40,26,150,mango
174,68,38,23,135,mango
159,62,52,19,101,mango
156,52,41,24,148,mango
175,41,54,13,128,mango
142,64,38,17,60,mango
152,85,55,18,107,mango
159,88,50,12,73,mango
146,76,36,24,127,mango
182,61,57,17,142,mango
157,79,61,20,122,mango
194,56,60,13,101,mango
177,79,37,22,147,mango
159,62,45,28,96,mango
192,53,39,10,163,mango
147,62,61,18,130,mango
192,89,64,20,113,mango
146,70,43,25,98,mango
152,48,61,29,176,mango
162,39,62,23,168,mango
191,53,50,17,62,mango
157,59,53,12,170,mango
165,82,41,16,174,mango
180,71,35,11,127,mango
198,61,63,12,145,mango
193,65,36,13,100,mango
159,64,54,26,111,mango
185,38,54,17,123,mango
179,50,61,26,128,mango
156,46,61,11,106,mango
159,74,61,10,162,mango
183,79,64,16,67,mango
148,55,46,24,131,mango
188,40,63,25,68,mango
162,75,51,29,106,mango
171,45,44,14,153,mango
144,85,47,23,95,mango
199,40,45,13,96,mango
166,62,35,17,147,mango
152,39,57,13,135,mango
165,32,36,14,141,mango
161,38,47,25,136,mango
196,65,60,10,100,mango
147,34,48,24,66,mango
180,69,49,15,152,mango
161,64,37,16,103,mango
158,85,59,19,61,mango
155,47,63,26,119,mango
184,43,43,19,63,mango
150,77,39,22,164,mango
155,65,42,21,70,mango
152,39,47,11,102,mango
158,74,49,12,90,mango
162,32,54,28,62,mango
149,66,50,21,140,mango
183,82,51,15,113,mango
163,46,36,21,102,mango
185,69,57,22,87,mango
170,25,53,27,134,mango
161,86,55,29,109,mango
174,38,49,27,76,mango
186,26,43,19,117,mango
176,46,58,22,178,mango
160,60,56,14,140,mango
161,23,61,23,117,mango
174,81,63,20,85,mango
161,76,41,11,107,mango
145,67,35,11,177,mango
150,79,54,21,164,mango
154,78,52,23,92,mango
147,49,38,18,80,mango
153,25,48,28,157,mango
157,70,60,22,156,mango
179,28,36,14,117,mango
160,68,41,28,130,mango
162,74,48,22,117,mango
199,89,51,19,74,mango
186,56,48,19,62,mango
162,77,60,21,124,mango
148,74,44,16,175,mango
196,38,46,19,173,mango
197,68,53,25,145,mango
193,33,63,22,168,mango
187,79,46,26,71,mango
156,51,57,26,161,mango
181,83,39,14,121,mango
174,42,40,11,73,mango
191,45,36,19,64,mango
144,79,60,29,174,mango
162,54,60,18,71,mango
161,56,63,17,137,mango
175,89,58,24,156,mango
149,45,57,12,88,mango
178,68,64,24,132,mango
163,58,56,14,63,mango
157,61,48,20,94,mango
154,27,48,17,147,mango
173,30,42,27,97,mango
154,67,58,27,65,mango
144,32,44,24,71,mango
183,47,35,13,150,mango
182,21,42,16,164,mango
176,67,36,26,104,mango
146,31,46,11,124,mango
191,87,39,11,108,mango
152,36,64,18,129,mango
170,65,59,21,74,mango
166,21,60,24,117,mango
170,54,55,15,146,mango
187,63,64,11,66,mango
162,43,36,27,75,mango
195,67,60,11,150,mango
186,51,62,27,102,mango
162,76,64,17,131,mango
191,50,61,10,64,mango
184,79,57,12,142,mango
